kp,force_N,defl_l2_rad,q_delta_from_contact_rad,q_delta_from_home_rad,q0,q1,q2,q3,q4,q5,q6,q7,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,ctrl7
12.0,2.0113983532427735,0.021390094370600448,0.016463151002531165,0.11891178935194101,-0.09045627676549212,-1.5716297207980654,0.06597607936759466,0.7997497556993475,-0.17822551703839096,0.36964424335767504,0.8660926540880327,0.46425399677303913,-0.0897711333284819,-1.5766803578044353,0.06602378689988414,0.7998483205391076,-0.17245576834373041,0.38496219343017335,0.8778201847992733,0.46936097429808754
12.0,2.5233196501317146,0.025847289491484658,0.018779861148437434,0.12054966371020194,-0.09077890554011504,-1.5708033721746872,0.06813871863026075,0.8004256048657842,-0.17799526351961203,0.36962943245706764,0.8665335487826183,0.4641406403591512,-0.08998435634646602,-1.576117547922546,0.06891154163884462,0.8009004797346856,-0.1724762144721753,0.38914609317319787,0.8803450967911822,0.470163018122396
12.0,3.080956563772989,0.03282593005271048,0.01923924554524316,0.12061811577238396,-0.09094845522545274,-1.570350517568528,0.06871432493590815,0.8002250667688234,-0.17799365946804876,0.3671214432255204,0.8695434426527888,0.4650360170861462,-0.0902686537037782,-1.5753671347466935,0.07276188129079195,0.802303358662123,-0.17250347597676846,0.39472462616389725,0.8837116461137275,0.4712324098881407
12.0,3.5862277811624246,0.040930828473497,0.020917761688004247,0.12085478084854541,-0.09131423274300926,-1.5694250323955514,0.06928775572866977,0.800015690709301,-0.1780445883712899,0.3639362437567976,0.8732482750353134,0.4662760385649999,-0.09055295106109038,-1.5746167215708409,0.07661222094273927,0.8037062375895604,-0.1725307374813616,0.4003031591545967,0.8870781954362728,0.47230180165388536
12.0,3.9882588879937195,0.047191788945203185,0.0226439501288145,0.12113886692764188,-0.09151863657415439,-1.5689141108241855,0.06970347584022457,0.7998508477940739,-0.1780571763988873,0.36180550907701914,0.8757621772819814,0.46706863662721093,-0.0907661740790745,-1.5740539116889516,0.07949997568169975,0.8047583967851385,-0.17255118360980648,0.4044870588976212,0.8896031074281817,0.47310384547819384
12.0,4.405276208560913,0.053611796983818634,0.024867736171656385,0.12169599846554689,-0.09208763881658748,-1.56754063664493,0.07011341231667416,0.7996977937944045,-0.1780770526226269,0.3598316926568674,0.8781070497873916,0.46779093864005544,-0.09097939709705864,-1.5734911018070623,0.08238773042066025,0.8058105559807165,-0.17257162973825135,0.40867095864064573,0.8921280194200907,0.4739058893025023
12.0,4.936016817965581,0.06239418293673163,0.028099724795177073,0.12228976717066957,-0.09229564703387541,-1.5670468739764862,0.07062262554551661,0.7994623897103738,-0.17812105437375994,0.35684222523304376,0.8816025704061393,0.46892940109046494,-0.09126369445437081,-1.5727406886312096,0.08623807007260756,0.8072134349081539,-0.17259889124284453,0.41424949163134517,0.895494568742636,0.47497528106824694
12.0,6.006211119048989,0.8809340087572199,0.4157832804135158,0.42468794924521414,-0.11852506590506838,-1.5020596939619875,0.014986193687102826,0.920286369626138,-0.1803045733726971,0.11904772550676773,1.1484989442645037,0.5608130459209492,-0.11599756454053006,-1.5074547423320435,0.4212176197920244,0.9292639015952067,-0.17497064214244978,0.899581861822192,1.1883843598040742,0.5680123646880314
12.0,6.978074506145518,1.1820996182774752,0.5898400122862778,0.5928826396638247,-0.1282374502976003,-1.4799192123264413,-0.0008921266929266417,0.9581755873218549,-0.181136753710596,0.006876996510629644,1.2700042944211454,0.5924315164953667,-0.12424218790258315,-1.4856927602323213,0.5328774696984966,0.9699473904908908,-0.17576122577565154,1.0613593185524743,1.2860142901578868,0.5990247258946262
12.0,8.06961871497247,1.2108200418438215,0.6016433010391262,0.6045140048050774,-0.13008038211889447,-1.4768352709974775,-0.0014714119595483734,0.9608096879225484,-0.18100619107382285,-0.0004762602308482341,1.2778601202100393,0.5949995745649598,-0.12516615431384773,-1.4832539174108008,0.5453910735673255,0.9745067470050623,-0.17584982566557933,1.0794895507722475,1.296955575456159,0.6025002491332963
